file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00526_0151_900281_to_903114,ཨོ་ལགས་སོ། ད་གཉིས་པ་ནི་ཡན་ལག་རླུང་དོན་བྱེད་པ་དེ་མིན་འགྲོ་རེད་བེ།  ,o lags so/_da gnyis pa ni yan lag rlung don byed pa de min 'gro red be/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00526_0151_900281_to_903114.wav,STT_TT,3,66,2.833,wav16k/STT_TT00526_0151_900281_to_903114.wav,ཨོ་ལགས་སོ། ད་གཉིས་པ་ནི་ཡན་ལག་རླུང་དོན་བཞེན་པ་དེ་མིན་འགྲོ། རེད་བེ།
STT_TT00579_0057_325145_to_327738,ཁྱིམ་བདག་གཞན་པ་ལ་འཇིགས་པ་དང་བཅས་པའི་ཕྱོགས་དེར།  ,khyim bdag gzhan pa la 'jigs pa dang bcas pa'i phyogs der/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00579_0057_325145_to_327738.wav,STT_TT,3,48,2.593,wav16k/STT_TT00579_0057_325145_to_327738.wav,ྤྱིན་བདག་ཁྱིན་པ་ལ་འཇིགས་པ་དང་བཅས་པའི་ཕྱོགས་དེར།
STT_NS_M0213_0067_1229569_to_1231844,ག་ཚོད་འགྲོ་གི་འདུག འབུམ་འབུམ་འགྲོ་གི་འདུག་ག ཨེ་ནས་ང་ཚོ་འབུམ་ག་བ།  ,ga tshod 'gro gi 'dug_'bum 'bum 'gro gi 'dug ga_e nas nga tsho 'bum ga ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0213_0067_1229569_to_1231844.wav,STT_NS,3,66,2.275,wav16k/STT_NS_M0213_0067_1229569_to_1231844.wav,ཚོ་འགྲོ་གི་འདུག འབུམ་འབུམ་འབུམ་འགྲོ་ཡི་འདུག་ག། ཨེ་ནས་ང་ཚོ་འབུམ་ག་བ།
STT_TT00536_0056_385571_to_388336,དབང་བའི་རིགས་སུ་གནས་པ་ཡང་ཡིན་པས་ཞེས་མཐུན་པར་གྱུར་པ་ཟེར།  ,dbang ba'i rigs su gnas pa yang yin pas zhes mthun par gyur pa zer/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00536_0056_385571_to_388336.wav,STT_TT,3,57,2.765,wav16k/STT_TT00536_0056_385571_to_388336.wav,དབང་བའི་རིས་སུ་གནས་པ་ཡང་ཡིན་པས་གཞིང་མཐུན་པར་གྱུར་པ་ཟེ།
STT_TT00540_0357_2249240_to_2255981,ཨོ། དེ་རིག་ཡོང་དུས། བྱས་ཙང་གེ། ད་རིག་པ་དེ་སྔགས་ཀི་སྐབས་སུ། ད་འོད་གསལ་གི་སྐབས་ལ་སླེབ་ཡོང་དུས། ཨེ་ནས། རིག་པའི་འགྲེལ་བཤད་དེ་ད། གསལ་རུ་འགྲོ་གི་ཡོད་རེད།  ,o/_de rig yong dus/_byas tsang ge/_da rig pa de sngags ki skabs su/_da 'od gsal gi skabs la sleb yong dus/_e nas/_rig pa'i 'grel bshad de da/_gsal ru 'gro gi yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00540_0357_2249240_to_2255981.wav,STT_TT,3,149,6.741,wav16k/STT_TT00540_0357_2249240_to_2255981.wav,ཨོ་དེ་རེད་ཡོང་དུས། བྱས་ཙང་ག་ད་རིག་པ་དེ། སྔགས་ཀི་སྐབས་སུ། ད་འོད་གཟལ་གི་སྐབས་ལ་སླེབ་ཡོང་དུས། ཨེ་ནས། རིགས་པའི་འགྲེལ་བཤད་དེ་ད་གསལ་རུ་འགྲོ་གི་ཡོད་རེད།
STT_TT00539_0226_1481510_to_1491049,དཔེར་ན། ཀེན་སེལ་ན་བསྡད་མཁན་འདྲ་བོ་ཅིག་ཡིན་ན། ཁོ་ཁོ་ལ། ཨེ་ནས། སེམས་ནང་ལ་དེ་ནས། འདུ་ཤེས་དེ་དེ་ནས། སྡུག་ཅག་དེ་སླེབས་མ་བཅུག་པ་བྱས་ནས། ཨོ། བཞག་བཞག་བ་ཡིན་ན། དེ་ནས་ཁོ།  ,dper na/_ken sel na bsdad mkhan 'dra bo cig yin na/_kho kho la/_e nas/_sems nang la de nas/_'du shes de de nas/_sdug cag de slebs ma bcug pa byas nas/_o/_bzhag bzhag ba yin na/_de nas kho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00539_0226_1481510_to_1491049.wav,STT_TT,3,162,9.539,wav16k/STT_TT00539_0226_1481510_to_1491049.wav,དཔེར་ན། ྐན་སེམས་ན་བསྡད་མཁན་འདྲ་བོ་ཅིག་ཡིན་ན། ཁོ་ཁོ་ལ། ཨེ་ནས། སེམས་ནང་ལ་དེ་ནས་འདུ་ཤེས་དེ་ དེ་ནས་སྡུག་ཅག་དེ་སླེབས་མ་བཅུག་བ་བྱས་ནས། ཨོབཞག་བཞག་པ་ཡིན་ན། དེ་ནས་ཁོ།
STT_TT00252_632.950-634.650,ལུང་པ་གདམ་བྱས། ང་ལུང་པ་འདིར་སྐྱེ་གི་མིན། ལུང་པ།  ,lung pa gdam byas/_nga lung pa 'dir skye gi min/_lung pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00252_632.950-634.650.wav,STT_TT,3,49,1.6999999999999318,wav16k/STT_TT00252_632.950-634.650.wav,ལུང་པ་བསྡམས་བྱས། ང་ལུང་པ་འདེར་སྐྱེ་གི་མེན་ལུང་པ།
STT_TT00634_0252_2064411_to_2068643,ཚོར་བ་བདེ་བ་རེད། ཡིན་ནས་ཡང་ཚོར་བ་བདེ་བ་དེ། བདེ་བ་རང་མཚན་པ་ཅིག་མ་རེད་ཟེ།  ,tshor ba bde ba red/_yin nas yang tshor ba bde ba de/_bde ba rang mtshan pa cig ma red ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00634_0252_2064411_to_2068643.wav,STT_TT,3,73,4.232,wav16k/STT_TT00634_0252_2064411_to_2068643.wav,ཚོར་བ་བདེ་བ་རེད། ཡིན་ན་ཡང་། ཚོར་བ་བདེ་བ་དེ། བདེ་བ་རང་མཚན་པ་ཅིག་མ་རེད་ཟེ།
STT_CS-D-2016-M-D-B02-2-R-15_0021_191207_to_194678,ཨེ་ནས་ཁོ་ཡིས་ཨེ་འདྲའི་ངུས་རེད་ད། ངུས་ཨེ་འདྲའི་བྱེད་བསྡད་དུས་སྐབས་སུ་ཨེ་ནས་ཁོ་ལ།  ,e nas kho yis e 'dra'i ngus red da/_ngus e 'dra'i byed bsdad dus skabs su e nas kho la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2016-M-D-B02-2-R-15_0021_191207_to_194678.wav,STT_CS,3,81,3.471,wav16k/STT_CS-D-2016-M-D-B02-2-R-15_0021_191207_to_194678.wav,ཨེ་ནས་ཁོ་ཡིས་ཨེ་འདྲའི་ངུས་རེད་དཱ། ངུས་ཨེ་འདྲའི་བྱེད་བསྡད་དུས་སྐབས་སུ། ཨེ་ནས་ཁོ་ལ།
STT_CS-X-2010-M-D-B06-6-R-02_0120_891049_to_894598,ཨོ་འདུག་སེ། ཁོར་གཡུག་གཙང་མ་བཟོ་ཡི་ཡོད་རེད་ལོ།  ,o 'dug se/_khor g.yug gtsang ma bzo yi yod red lo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2010-M-D-B06-6-R-02_0120_891049_to_894598.wav,STT_CS,3,47,3.549,wav16k/STT_CS-X-2010-M-D-B06-6-R-02_0120_891049_to_894598.wav,ཨོ་འདུག་སེ། ཁོར་ཡུག་གཙང་མ་བཟོ་གི་ཡོད་རེད་ལོ།
